old_ref	old_anchor	old_title	new_file	new_section	disposition	note
WL-SPEC-1	sec-0	Purpose & scope	02-identity-actors-and-secrets.md	4	merged	
WL-SPEC-1	sec-1	Motivation	02-identity-actors-and-secrets.md	-	dropped-history	
WL-SPEC-1	sec-10	Error handling	02-identity-actors-and-secrets.md	9.4	moved	
WL-SPEC-1	sec-11	Testing	02-identity-actors-and-secrets.md	-	dropped-other	test plan not carried into the consolidated spec
WL-SPEC-1	sec-12	Non-goals	02-identity-actors-and-secrets.md	-	dropped-other	non-goals list not carried; the follow-up GitHub-write feature survives in Open questions
WL-SPEC-1	sec-13	Open questions	02-identity-actors-and-secrets.md	Open questions	merged	
WL-SPEC-1	sec-2	Decisions	02-identity-actors-and-secrets.md	4	merged	
WL-SPEC-1	sec-2.1	Task-scoped tokens	02-identity-actors-and-secrets.md	2	moved	
WL-SPEC-1	sec-3	Keycloak is the only login	02-identity-actors-and-secrets.md	1.1	moved	
WL-SPEC-1	sec-4	Keycloak realm configuration	02-identity-actors-and-secrets.md	4.2	moved	
WL-SPEC-1	sec-5	Server OIDC configuration and verification	02-identity-actors-and-secrets.md	4.1	moved	
WL-SPEC-1	sec-6	Web UI sessions	02-identity-actors-and-secrets.md	5	moved	
WL-SPEC-1	sec-7	Direct OIDC token exchange (dormant)	02-identity-actors-and-secrets.md	6	moved	
WL-SPEC-1	sec-8	CLI login: server-mediated loopback	02-identity-actors-and-secrets.md	7.1	moved	
WL-SPEC-1	sec-8.1	Discovery and CLI login endpoints	02-identity-actors-and-secrets.md	7	moved	
WL-SPEC-1	sec-8.2	The reuse seam: finishLogin	02-identity-actors-and-secrets.md	5	merged	
WL-SPEC-1	sec-8.3	One-time code store	02-identity-actors-and-secrets.md	7.3	moved	
WL-SPEC-1	sec-8.4	Client behavior	02-identity-actors-and-secrets.md	-	dropped-history	
WL-SPEC-1	sec-8.5	Token storage: OS keychain, then a 0600 file	02-identity-actors-and-secrets.md	8	moved	
WL-SPEC-1	sec-8.6	Security	02-identity-actors-and-secrets.md	7.4	moved	
WL-SPEC-1	sec-8.7	Manual mode: login without a launchable browser	02-identity-actors-and-secrets.md	7.2	moved	
WL-SPEC-1	sec-9	GitHub account linking	02-identity-actors-and-secrets.md	9	moved	
WL-SPEC-1	sec-9.1	The GitHub App and its configuration	02-identity-actors-and-secrets.md	9.1	moved	
WL-SPEC-1	sec-9.2	Expected GitHub identity from Keycloak	02-identity-actors-and-secrets.md	4.3	merged	
WL-SPEC-1	sec-9.3	Link flow (web)	02-identity-actors-and-secrets.md	9.2	moved	
WL-SPEC-1	sec-9.4	lode auth command group	02-identity-actors-and-secrets.md	9.2	moved	
WL-SPEC-1	sec-9.5	GitHub token storage and refresh	02-identity-actors-and-secrets.md	9.3	moved	
WL-SPEC-2	sec-0	Purpose & scope	01-system-and-deployment.md	2	merged	
WL-SPEC-2	sec-1	The execution backbone	01-system-and-deployment.md	2	moved	
WL-SPEC-2	sec-2	Design documents	01-system-and-deployment.md	2	moved	
WL-SPEC-2	sec-3	The knowledge graph	01-system-and-deployment.md	2	moved	
WL-SPEC-2	sec-4	Projects and people	01-system-and-deployment.md	2	moved	
WL-SPEC-2	sec-5	Groupings are queries, not rows	01-system-and-deployment.md	2	moved	
WL-SPEC-2	sec-6	Reading a cross-reference	01-system-and-deployment.md	2	moved	
WL-SPEC-4	sec-0	Purpose & scope	03-tasks-and-execution.md	-	merged	folded into the unnumbered intro paragraph
WL-SPEC-4	sec-1.1	tasks	03-tasks-and-execution.md	2	moved	
WL-SPEC-4	sec-1.2	leases, bound to the worktree	03-tasks-and-execution.md	6	moved	
WL-SPEC-4	sec-1.3	task_edges	03-tasks-and-execution.md	4	moved	
WL-SPEC-4	sec-1.4	events + state_log	03-tasks-and-execution.md	9	moved	
WL-SPEC-4	sec-10	Out of scope	-	-	dropped-other	scope-exclusion list
WL-SPEC-4	sec-11	Dependencies	-	-	dropped-other	spec dependency list
WL-SPEC-4	sec-12	Open questions	03-tasks-and-execution.md	-	merged	unresolved items kept in the unnumbered Open questions; resolved ones dropped
WL-SPEC-4	sec-13	Acceptance criteria	-	-	dropped-other	acceptance criteria
WL-SPEC-4	sec-2	Per-project task keys	03-tasks-and-execution.md	1	moved	2.1 decision table and 2.2 migration reduced to the standing rule; 2.5 branch/parser rules kept
WL-SPEC-4	sec-3	Lease lifecycle	03-tasks-and-execution.md	6	merged	
WL-SPEC-4	sec-4	The claim transaction	03-tasks-and-execution.md	7	moved	
WL-SPEC-4	sec-5.1	State machine	03-tasks-and-execution.md	3	moved	
